Teams,Game,Season,Win,S,A,TO,2Pt_Sh,SOG,POSS,TCH,PAS,CT,GB,FO_%,Sv
Redwoods,1,2023,1,13,9,16,4,23,970,205,151,10,25,34.5,11
Atlas,1,2023,0,12,7,18,11,26,1591,284,220,4,38,65.5,8
Cannons,1,2023,0,13,9,13,6,30,1300,269,213,5,28,25,17
Archers,1,2023,1,16,7,14,1,34,1342,317,249,9,47,75,16
Chaos,1,2023,0,7,3,25,4,18,1572,328,264,9,30,72.2,18
Waterdogs,1,2023,1,8,5,16,6,28,1283,288,230,12,29,27.8,10
Whipsnakes,1,2023,0,11,10,18,6,29,1351,278,213,4,35,51.9,15
Chrome,1,2023,1,12,10,16,2,27,1282,291,237,7,33,48.1,14
Redwoods,2,2024,0,11,6,19,8,27,1408,296,232,5,29,65.4,12
Chaos,2,2024,1,12,5,19,4,26,1295,220,168,6,25,34.6,16
Archers,2,2024,0,17,9,19,4,31,1319,244,180,6,36,37.8,13
Outlaws,2,2024,1,18,8,15,11,34,1552,303,232,4,34,62.2,15
Atlas,2,2024,1,15,6,19,7,29,1587,296,228,10,47,74.1,8
Chaos,2,2024,0,12,5,15,5,20,1111,216,171,7,18,25.9,13
Whipsnakes,2,2024,0,9,3,17,4,23,1306,230,177,9,31,56,14
Cannons,2,2024,1,13,8,15,9,28,1381,304,238,8,36,44,14
Cannons,3,2024,1,12,2,24,5,28,1530,244,180,4,38,75,15
Waterdogs,3,2024,0,11,7,14,3,27,1195,291,237,10,21,25,13
Archers,3,2024,1,9,5,17,4,20,1413,245,188,5,21,40,18
Chaos,3,2024,0,7,3,17,3,27,1303,247,191,9,30,60,11
Redwoods,3,2024,0,15,9,20,6,31,1251,233,169,9,31,67.6,14
Atlas,3,2024,1,20,13,15,8,34,1287,246,186,10,33,32.4,16
Whipsnakes,3,2024,1,15,7,24,5,30,1626,262,192,7,51,100,13
Waterdogs,3,2024,0,14,6,15,5,27,1213,280,220,10,24,0,17
Atlas,4,2024,0,12,6,12,4,29,1087,236,179,9,34,43.8,14
Whipsnakes,4,2024,1,16,4,20,5,32,1449,270,201,5,40,56.3,14
Cannons,4,2024,1,14,6,22,14,18,1399,327,268,10,28,40.9,11
Archers,4,2024,0,9,4,23,6,21,1283,253,200,9,35,59.1,8
Redwoods,4,2024,0,8,4,21,9,21,1350,239,176,9,42,72.7,13
Outlaws,4,2024,1,13,8,18,6,26,1360,278,217,6,31,27.3,11
Waterdogs,4,2024,1,10,7,18,7,22,1348,276,218,8,36,42.1,12
Chaos,4,2024,0,6,4,15,3,18,1281,225,178,4,24,52.6,11
Redwoods,5,2024,1,9,3,20,1,19,1315,289,231,7,28,65,13
Cannons,5,2024,0,7,5,14,7,20,1435,289,234,8,22,35,10
Outlaws,5,2024,0,4,3,18,7,22,1238,176,119,9,23,60,9
Atlas,5,2024,1,17,11,16,3,27,1416,283,225,4,31,40,14
Archers,5,2024,1,16,3,20,6,25,1379,237,176,6,31,36.7,15
Whipsnakes,5,2024,0,11,8,21,1,30,1234,271,204,6,39,60,10
Waterdogs,5,2024,0,10,4,15,4,25,1460,270,211,7,24,50,13
Cannons,5,2024,1,14,9,16,6,25,1217,234,181,4,28,50,15
Outlaws,6,2024,1,15,7,13,4,25,1339,256,205,3,27,44.4,16
Waterdogs,6,2024,0,13,5,15,7,27,1265,244,184,3,36,55.6,10
Chaos,6,2024,1,10,3,20,4,24,1487,268,204,5,32,30.4,18
Whipsnakes,6,2024,0,9,2,19,4,27,1323,255,191,7,40,69.6,13
Atlas,6,2024,0,12,5,19,4,29,1436,264,205,8,45,73.3,9
Cannons,6,2024,1,17,6,13,10,24,1230,222,167,10,23,26.7,14
Archers,6,2024,1,15,7,19,8,29,1330,274,204,3,34,65.4,10
Redwoods,6,2024,0,8,3,19,3,19,1325,246,189,6,30,34.6,12
Outlaws,7,2024,0,10,3,17,8,21,1365,257,200,8,26,39.1,9
Cannons,7,2024,1,12,5,22,8,21,1316,272,212,7,37,60.9,13
Chaos,7,2024,0,8,3,14,7,22,1264,227,170,5,24,26.3,14
Redwoods,7,2024,1,10,4,20,3,24,1386,316,263,10,31,73.7,13
Waterdogs,7,2024,0,11,4,21,12,31,1398,246,178,11,40,33.3,17
Atlas,7,2024,1,12,4,19,3,31,1237,248,184,11,42,66.7,17
Whipsnakes,7,2024,1,18,7,17,8,34,1421,291,220,8,36,50,12
Redwoods,7,2024,0,13,5,22,5,23,1154,282,221,10,34,46.7,17
Waterdogs,8,2024,0,6,4,11,6,27,1273,230,173,8,26,36.4,12
Whipsnakes,8,2024,1,12,4,20,5,25,1344,260,199,2,37,63.6,20
Outlaws,8,2024,1,18,8,11,8,25,1087,198,143,6,29,29.2,16
Redwoods,8,2024,0,5,2,16,6,22,983,217,167,4,35,70.8,6
Chaos,8,2024,1,15,6,9,2,30,1212,246,191,5,30,27.3,15
Archers,8,2024,0,14,7,16,2,30,1316,256,187,4,34,69.7,14
Cannons,8,2024,0,14,5,10,8,25,1127,220,170,8,23,30,14
Whipsnakes,8,2024,1,16,7,20,3,30,1585,268,202,7,42,70,9
Whipsnakes,9,2024,1,16,6,17,2,26,1336,234,178,6,41,62.1,11
Outlaws,9,2024,0,9,2,18,6,22,1324,245,192,6,26,34.5,9
Waterdogs,9,2024,0,12,10,26,7,23,1389,278,215,6,31,51.9,9
Redwoods,9,2024,1,13,7,24,6,24,1477,273,203,10,41,48.1,11
Atlas,9,2024,1,15,6,14,2,32,1222,268,208,10,35,55.6,13
Archers,9,2024,0,11,3,27,10,22,1351,218,159,4,36,44.4,16
Chaos,9,2024,0,4,3,19,10,16,1278,253,191,10,28,38.9,10
Outlaws,9,2024,1,10,6,20,5,23,1436,303,246,6,28,61.1,12
Redwoods,10,2024,0,12,4,18,11,25,1349,288,229,7,25,37,13
Archers,10,2024,1,13,5,15,6,27,1399,253,194,9,34,63,12
Cannons,10,2024,1,11,6,15,9,35,1569,349,281,12,37,52,10
Chaos,10,2024,0,10,4,21,5,22,1217,235,173,5,32,48,14
Atlas,10,2024,0,12,9,29,5,28,1214,272,200,7,45,75.9,14
Waterdogs,10,2024,1,13,6,18,6,32,1377,231,174,9,38,24.1,16
Outlaws,10,2024,0,9,3,15,8,30,1384,268,196,7,35,50,10
Archers,10,2024,1,13,7,19,8,22,1256,238,177,5,31,50,18
Cannons,1,2024,0,12,6,9,9,27,1319,226,178,6,33,21.2,13
Atlas,1,2024,1,19,14,18,3,34,1346,347,277,3,44,75.8,13
Whipsnakes,1,2024,0,13,7,14,7,26,1351,223,171,4,22,33.3,9
Atlas,1,2024,1,17,9,16,6,27,1241,275,224,3,33,66.7,14
Archers,1,2024,1,12,4,25,7,20,1312,274,214,4,40,88.5,23
Waterdogs,1,2024,0,11,6,8,4,36,1410,296,237,12,25,7.7,9
Chaos,1,2024,1,16,7,22,3,21,1232,255,207,3,33,35.7,16
Outlaws,1,2024,0,11,6,17,6,27,1466,306,242,9,36,64.3,5
Chrome,2,2023,0,7,1,15,3,25,1192,232,176,5,28,54.5,9
Archers,2,2023,1,12,7,14,3,22,1473,300,242,3,33,45.5,18
Waterdogs,2,2023,0,9,5,11,6,28,1296,264,211,8,31,47.8,14
Redwoods,2,2023,1,10,4,18,4,25,1358,262,198,5,39,52.2,19
Whipsnakes,2,2023,0,11,4,15,7,23,0,276,222,5,24,40,17
Atlas,2,2023,1,12,6,13,5,29,0,243,186,6,33,60,13
Chaos,2,2023,1,14,5,20,2,24,1380,229,176,5,36,44.4,14
Cannons,2,2023,0,13,8,18,7,25,1333,281,222,9,37,55.6,9
Waterdogs,3,2023,1,19,9,11,9,27,1226,236,183,6,20,16.2,16
Atlas,3,2023,0,18,11,21,8,34,1452,269,204,7,50,83.8,9
Chrome,3,2023,0,13,6,19,4,27,1408,292,237,10,36,70,5
Cannons,3,2023,1,14,8,19,2,18,1298,271,219,5,32,26.7,12
Archers,3,2023,0,10,6,20,9,29,1300,255,190,4,32,60.7,11
Chaos,3,2023,1,15,8,18,6,25,1382,295,239,6,36,39.3,19
Redwoods,3,2023,0,11,4,20,10,25,1238,245,182,4,29,70,12
Whipsnakes,3,2023,1,18,10,14,8,27,1383,234,180,9,36,30,12
Waterdogs,4,2023,1,10,8,22,3,19,1443,297,243,11,37,10,14
Chrome,4,2023,0,7,3,23,4,23,1297,264,203,10,41,90,10
Cannons,4,2023,1,19,11,16,5,35,1321,279,215,14,37,15.6,10
