Teams,Game,Season,Win,S,1G,2G,A,TO,Sh,Sh%,2Pt_Sh,2Pt_Sh%,SOG,SOG%,POSS,POSS%,TCH,PAS,CT,GB,FO_%,FOW,FOL,Sv,Sv_%,SA
Redwoods,1,2023,1,13,13,0,9,16,38,34.2,4,0,23,60.5,970,33.7,205,151,10,25,34.5,10,19,11,47.8,12
Atlas,1,2023,0,12,12,0,7,18,46,26.1,11,0,26,56.5,1591,55.2,284,220,4,38,65.5,19,10,8,38.1,13
Cannons,1,2023,0,13,11,1,9,13,43,27.9,6,16.7,30,69.8,1300,45.1,269,213,5,28,25,8,24,17,51.5,16
Archers,1,2023,1,16,16,0,7,14,54,29.6,1,0,34,63,1342,46.6,317,249,9,47,75,24,8,16,57.1,13
Chaos,1,2023,0,7,7,0,3,25,39,17.9,4,0,18,46.2,1572,51.8,328,264,9,30,72.2,13,5,18,72,8
Waterdogs,1,2023,1,8,6,1,5,16,42,16.7,6,16.7,28,66.7,1283,42.2,288,230,12,29,27.8,5,13,10,58.8,7
Whipsnakes,1,2023,0,11,11,0,10,18,47,23.4,6,0,29,61.7,1351,46.9,278,213,4,35,51.9,14,13,15,55.6,12
Chrome,1,2023,1,12,12,0,10,16,38,31.6,2,0,27,71.1,1282,44.5,291,237,7,33,48.1,13,14,14,56,11
Redwoods,2,2024,0,11,9,1,6,19,45,22.2,8,12.5,27,60,1408,48.9,296,232,5,29,65.4,17,9,12,50,12
Chaos,2,2024,1,12,12,0,5,19,33,36.4,4,0,26,78.8,1295,45,220,168,6,25,34.6,9,17,16,61.5,11
Archers,2,2024,0,17,15,1,9,19,45,35.6,4,25,31,68.9,1319,41.9,244,180,6,36,37.8,14,23,13,43.3,18
Outlaws,2,2024,1,18,16,1,8,15,56,30.4,11,9.1,34,60.7,1552,49.3,303,232,4,34,62.2,23,14,15,48.4,17
Atlas,2,2024,1,15,11,2,6,19,49,26.5,7,28.6,29,59.2,1587,55.1,296,228,10,47,74.1,20,7,8,44.4,12
Chaos,2,2024,0,12,8,2,5,15,30,33.3,5,40,20,66.7,1111,38.6,216,171,7,18,25.9,7,20,13,50,15
Whipsnakes,2,2024,0,9,9,0,3,17,36,25,4,0,23,63.9,1306,45.3,230,177,9,31,56,14,11,14,53.8,13
Cannons,2,2024,1,13,11,1,8,15,51,23.5,9,11.1,28,54.9,1381,48,304,238,8,36,44,11,14,14,60.9,9
Cannons,3,2024,1,12,8,2,2,24,40,25,5,40,28,70,1530,53,244,180,4,38,75,18,6,15,57.7,11
Waterdogs,3,2024,0,11,11,0,7,14,40,27.5,3,0,27,67.5,1195,41.4,291,237,10,21,25,6,18,13,56.5,12
Archers,3,2024,1,9,9,0,5,17,40,22.5,4,0,20,50,1413,49.1,245,188,5,21,40,8,12,18,72,7
Chaos,3,2024,0,7,7,0,3,17,39,17.9,3,0,27,69.2,1303,45.2,247,191,9,30,60,12,8,11,55,9
Redwoods,3,2024,0,15,13,1,9,20,44,31.8,6,16.7,31,70.5,1251,43.4,233,169,9,31,67.6,25,12,14,42.4,20
Atlas,3,2024,1,20,18,1,13,15,45,42.2,8,12.5,34,75.6,1287,44.7,246,186,10,33,32.4,12,25,16,53.3,15
Whipsnakes,3,2024,1,15,11,2,7,24,46,28.3,5,40,30,65.2,1626,54.6,262,192,7,51,100,31,0,13,48.1,14
